,A,B,C,D,E,F,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
68,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2373.878799,2435.427383,991.472626,1062.118210,237.376785,219.124283,97.758179
69,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2353.679230,2384.080673,1344.949966,1380.910812,173.219604,157.495010,71.297539
70,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2400.620636,2462.476242,1003.334961,1074.128281,240.355179,233.399261,98.800064
71,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2379.224976,2383.428802,1372.769775,1382.206482,173.675598,166.519287,71.147705
72,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.102066,2453.478241,1003.011917,1070.271957,238.973831,214.469559,98.451889
73,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2181.695007,2292.347153,1292.395767,1407.930695,154.716843,145.420853,62.839031
74,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2393.302170,2458.563293,996.875595,1070.638931,239.371475,221.959991,98.770065
75,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2338.044067,2382.130554,1328.968033,1379.096237,174.255936,166.054794,71.309761
76,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2394.684021,2457.963348,998.828537,1071.734055,241.230957,221.741074,98.712227
77,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2454.047943,2392.785172,1438.976562,1383.700439,177.937469,169.674576,71.762482
78,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2385.825287,2447.283539,995.431351,1066.673325,239.196823,230.733536,98.320816
79,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2433.644577,2388.991608,1424.214066,1385.889435,178.015244,157.294037,71.325005
80,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.900421,2462.672928,1001.582581,1076.525391,239.603867,217.346863,98.674339
81,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2361.871017,2379.631836,1355.499084,1379.703644,174.662384,156.252747,71.113480
82,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2404.832748,2463.375504,1004.386093,1072.464081,241.380707,220.691406,99.034241
83,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2418.482224,2378.295670,1429.416718,1394.529205,173.533859,159.788467,69.913231
84,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2386.097321,2446.540710,995.438919,1065.384308,239.546280,231.020370,98.348343
85,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2278.543259,2337.607010,1337.887451,1402.430344,163.661377,158.147705,66.464394
86,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.833435,2453.680511,1001.636292,1068.377594,239.109222,232.593338,98.608070
87,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2341.124695,2386.394073,1332.865845,1383.446854,173.380188,162.756546,71.223763
88,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.196823,2456.828995,997.738220,1068.561768,240.461121,207.645065,98.821106
89,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2428.716324,2381.510300,1422.167114,1380.536057,175.372589,167.445724,71.107811
90,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2385.349365,2452.490753,993.705978,1070.064682,240.528778,220.856506,98.422356
91,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2427.944366,2376.613983,1421.830490,1376.353989,176.508286,164.778564,71.059425
92,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2406.713562,2472.320114,1002.460403,1077.271652,242.718170,220.941254,99.310280
93,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2328.918488,2384.644180,1319.341553,1380.535690,175.806992,158.391968,71.325104
94,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2398.000198,2460.661972,999.189499,1071.257736,242.402039,216.048874,98.926491
95,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2344.874573,2398.167114,1329.454941,1388.393021,175.974472,169.771896,71.750763
96,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2401.787613,2465.285675,1002.126282,1075.327927,241.494064,226.654846,98.972511
97,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2321.118378,2389.142441,1337.810791,1410.660904,169.476181,154.243896,69.477959
98,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2392.292969,2463.979218,995.546143,1076.302277,240.102814,214.175583,98.772881
99,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2329.214722,2372.229614,1324.599411,1372.815979,174.376404,165.015259,70.994125
100,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2400.339203,2505.733124,1003.123978,1117.804779,241.188171,224.462143,98.788544
