,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
632,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1833.264212,1774.386629,1203.278001,1160.429091,303.014726,241.010378,41.618506
633,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1771.254987,1727.260742,1133.302336,1104.690459,302.672014,244.037933,42.250956
634,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1727.635198,1678.219375,1158.779999,1102.220933,219.712140,285.621204,38.293059
635,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1686.616866,1634.754497,1061.144152,1023.762499,294.401890,242.394580,41.455494
636,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1764.086543,1699.370608,1133.649370,1083.716689,286.054291,231.397324,41.935785
637,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1876.256546,1817.535247,1276.678776,1232.655811,289.737792,238.193269,39.571277
638,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1762.227021,1694.873748,1172.683926,1118.913802,274.417297,228.136534,39.071114
639,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1600.264606,1585.208696,983.225649,961.725243,229.843595,294.450180,41.718348
640,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1730.641283,1692.348756,1141.641879,1116.510284,274.682571,230.137999,39.098427
641,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1685.349045,1650.390122,1112.616000,1070.102294,217.288818,285.173491,38.644687
642,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1611.116183,1558.870452,1008.617903,969.788694,272.403719,224.707047,40.116678
643,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1838.780868,1767.000595,1263.481335,1184.516069,221.216138,287.849014,38.732026
644,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1660.385082,1604.593885,1080.257693,1038.504856,276.450100,222.415964,38.389578
645,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1610.501103,1559.236787,1027.017104,989.374102,278.189577,226.287968,38.673089
646,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1721.087383,1671.337947,1136.709933,1100.405592,271.472769,224.706453,38.750045
647,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1677.706712,1625.702376,1062.625764,1024.886721,284.289016,234.358124,40.874531
648,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1791.583784,1728.942792,1167.244861,1119.050280,293.033219,243.975739,41.373240
649,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1771.492174,1723.186799,1147.237578,1091.855623,234.921235,301.016556,42.152024
650,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1867.775036,1786.557801,1259.512009,1172.042481,228.461195,292.805285,41.033404
