,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
170,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1258.416107,1179.811707,844.873077,773.201126,105.130295,81.175995,28.662773
171,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1031.097748,993.706223,601.962448,571.038666,104.556992,83.718033,29.816381
172,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1020.023132,998.083267,561.493454,547.240112,109.617493,88.157974,31.846972
173,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,991.691284,970.812347,551.734329,537.158630,106.354584,86.599487,30.564468
174,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1055.253433,1008.151535,614.149750,572.922089,105.656754,89.009903,30.676138
175,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1060.923569,1025.389786,739.919449,710.008728,83.977005,66.193314,22.209940
176,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1086.496094,1058.727600,726.773605,706.138992,95.085861,70.540970,24.897861
177,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,911.997513,891.316528,510.873245,497.901459,103.148041,75.960587,27.783066
178,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,984.082947,952.676682,665.126785,639.386322,83.875290,67.910568,22.072496
179,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1071.125473,1032.092300,747.053223,713.309341,84.453125,68.323929,22.430168
180,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1044.040146,1000.590027,606.849289,571.618881,106.459473,83.304718,30.337683
181,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,971.378189,927.580414,686.991165,647.808807,75.500458,62.542953,19.651255
182,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1025.396591,1001.826172,564.077698,548.152023,109.972031,88.352676,32.046623
183,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1047.797318,1028.606918,707.047989,694.440170,90.436615,67.488724,23.570963
184,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,947.419067,907.182541,554.038422,520.345703,95.840103,78.208511,27.291571
185,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1007.509064,984.339935,561.230774,545.132614,109.581787,82.493317,31.002958
186,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1023.511154,971.452652,715.320190,670.144089,85.416885,61.307587,21.272556
187,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,966.455948,942.596283,657.460815,641.108459,88.783676,57.805389,21.295580
188,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1043.537491,1003.268967,603.180939,569.431686,104.866989,88.221298,30.596298
189,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,971.963394,930.050964,687.196167,650.550446,78.428223,59.128860,19.662342
190,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1019.317032,996.409134,561.809753,546.587189,109.230286,87.259262,31.769232
191,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1019.531555,979.130783,595.001877,561.004272,102.988373,81.863113,29.476370
192,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,990.316177,960.897430,667.118912,643.735474,86.555008,65.454300,22.354649
193,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1018.413544,979.767181,595.082199,563.058151,102.397873,82.421448,29.390778
194,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1106.648315,1060.759338,765.894501,726.629807,91.278839,67.013794,23.574783
195,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,994.248154,973.830887,552.819382,539.138000,105.428436,85.623596,30.665691
196,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1076.923508,1052.138977,719.502319,701.901978,92.736145,70.395294,24.730600
197,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1062.429337,1026.683823,741.968567,712.081940,85.978882,64.047134,22.161652
198,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1015.704498,995.270111,561.538376,547.048096,105.601883,93.398636,31.604744
199,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1022.809204,980.653564,598.136154,562.123001,102.299179,82.221420,29.499361
200,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1079.947311,1051.427124,723.520950,700.960724,89.760422,74.355850,24.694548
