,E,I,J,L,Q,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
122,-1,1,-1,-1,-1,2300000,25,1800000,24,4407743741952 536870912,1674.346605,1681.108593,1051.067656,1071.240281,293.815172,241.398379,41.322575
123,1,1,-1,1,-1,2300000,25,1800000,24,4399120252928 9160359936,1747.384396,1737.840927,1171.143386,1172.812466,273.048324,235.901854,38.111258
124,1,-1,-1,1,-1,2300000,25,1800000,24,4399657123840 8623489024,1736.165822,1698.891173,1117.066805,1100.489824,299.780303,212.289752,40.837464
125,-1,1,-1,1,1,2300000,25,1800000,24,1107296256 4407173316608,1699.838562,1649.607104,1098.261370,1068.004835,290.950471,203.670901,39.742792
126,1,1,-1,-1,1,2300000,25,1800000,24,9663676416 4398616936448,1640.432512,1627.956401,1055.682874,1054.924925,265.539658,224.324462,38.859001
127,1,-1,-1,-1,1,2300000,25,1800000,24,10200547328 4398080065536,1674.753387,1634.928223,1043.578685,1023.588285,301.770309,216.368243,41.773429
128,-1,-1,-1,-1,-1,2300000,25,1800000,24,4408280612864 0,1634.207185,1608.829425,992.684649,987.080399,309.515240,223.277909,42.468944
129,-1,-1,1,1,1,2300000,25,1800000,24,570425344 4407710187520,1707.353028,1694.353515,1121.015271,1117.599225,265.215177,230.875472,39.032174
130,-1,-1,-1,-1,1,2300000,25,1800000,24,10234101760 4398046511104,1607.423701,1584.552932,976.919511,973.126390,303.403915,216.543289,41.765388
131,1,1,-1,-1,-1,2300000,25,1800000,24,4407710187520 570425344,1697.033859,1664.834696,1093.308549,1081.690535,304.764831,211.067153,39.736603
132,-1,-1,1,-1,-1,2300000,25,1800000,24,4407206871040 1073741824,1732.006519,1727.489973,1095.726077,1105.027375,287.324688,236.838485,42.296888
133,-1,1,1,-1,1,2300000,25,1800000,24,8623489024 4399657123840,1787.751769,1755.136691,1173.730062,1161.930098,307.376676,217.582562,40.401125
134,-1,1,1,1,-1,2300000,25,1800000,24,4398080065536 10200547328,1775.436595,1753.865921,1199.999221,1189.566852,267.547882,230.564561,38.128749
135,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,1726.693669,1690.234558,1163.095701,1147.024416,284.624757,198.223083,37.008117
136,-1,1,-1,1,-1,2300000,25,1800000,24,4399153807360 9126805504,1703.352234,1690.013763,1102.293746,1102.494398,274.321882,228.373233,39.880173
137,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1882.909716,1838.435728,1299.841520,1276.981153,297.062865,207.488295,38.204451
138,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1709.875943,1703.915342,1119.315294,1124.211101,263.597690,230.632540,39.213797
139,1,1,-1,1,-1,2300000,25,1800000,24,4399120252928 9160359936,1752.496324,1717.233630,1157.432224,1142.338533,293.991058,207.102296,39.161161
140,-1,-1,-1,-1,-1,2300000,25,1800000,24,4408280612864 0,1594.105911,1563.377197,964.576479,952.899829,295.543366,213.573043,41.717303
141,1,1,-1,1,1,2300000,25,1800000,24,1073741824 4407206871040,1682.369034,1634.489926,1115.731625,1086.946443,278.853073,194.183914,37.366115
142,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1840.393370,1800.850022,1232.134706,1212.446135,297.714627,209.621977,40.098136
143,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1742.752200,1737.928630,1178.167739,1187.294205,266.934146,215.621355,37.304659
144,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1725.740139,1734.023469,1084.225754,1110.324550,296.442976,224.886463,42.541452
145,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1758.500701,1727.624347,1185.102032,1174.526474,290.253237,201.248979,37.653477
146,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1806.288423,1782.066256,1208.154538,1204.194092,293.011505,205.466204,39.360803
147,-1,1,1,-1,-1,2300000,25,1800000,24,4406670000128 1610612736,1714.588072,1688.453492,1122.885835,1116.554121,288.565794,203.140179,39.011737
148,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1681.558012,1660.588497,1071.106264,1069.063232,292.966189,209.736590,40.350962
149,1,-1,1,-1,-1,2300000,25,1800000,24,4407173316608 1107296256,1748.269667,1713.751786,1144.970260,1131.316713,299.878159,209.713774,39.713351
150,1,-1,-1,1,-1,2300000,25,1800000,24,4399657123840 8623489024,1691.130018,1663.634259,1087.627702,1080.398072,295.883818,204.839415,39.809482
151,-1,1,-1,1,1,2300000,25,1800000,24,1107296256 4407173316608,1719.216310,1714.079286,1111.724244,1122.896010,280.784563,216.599152,40.283580
152,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1779.931532,1736.408599,1166.296511,1143.758086,305.433231,211.988548,40.401868
153,-1,1,-1,-1,-1,2300000,25,1800000,24,4407743741952 536870912,1603.772304,1556.096404,1014.157517,985.601744,288.038086,201.426635,38.971387
154,1,-1,-1,-1,1,2300000,25,1800000,24,10200547328 4398080065536,1609.407321,1578.565187,1003.902113,992.004608,291.921063,205.403288,40.071284
155,-1,1,-1,-1,1,2300000,25,1800000,24,9697230848 4398583382016,1613.420743,1603.704221,1017.268631,1020.243151,274.482085,227.468613,39.616298
156,1,1,-1,-1,1,2300000,25,1800000,24,9663676416 4398616936448,1659.462482,1650.426192,1073.103103,1075.588929,272.227678,232.367878,38.889720
157,1,-1,-1,1,1,2300000,25,1800000,24,1610612736 4406670000128,1759.277280,1722.995315,1102.572006,1086.335358,296.856824,211.201625,43.633613
158,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,1635.535491,1648.332964,1012.678634,1036.498777,276.275863,237.911881,41.524941
159,1,1,1,1,1,2300000,25,1800000,24,0 4408280612864,1855.582231,1810.279496,1281.956726,1256.652545,292.599642,206.738737,37.623803
160,-1,-1,-1,1,1,2300000,25,1800000,24,1644167168 4406636445696,1693.793225,1668.908053,1063.417224,1058.502353,301.431183,215.203478,41.676572
