,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
255,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.585754,52.676331,29.181458,29.653809,9.119705,7.33934,1.598232
256,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.279922,57.395096,41.797348,40.137589,7.422012,6.466675,1.183878
257,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.318115,56.005249,42.02562,39.177841,7.782516,5.731522,1.161978
258,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,59.896637,56.000565,42.484207,38.718933,7.103149,6.77655,1.182377
259,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,58.642105,57.290894,41.344513,40.116699,6.87027,6.775482,1.173518
260,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,49.344742,49.228165,27.766739,28.148453,9.027115,6.538849,1.466142
261,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.175034,49.052383,28.297241,27.407288,8.23584,7.356232,1.497266
262,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,50.926437,50.111832,28.549149,28.107697,8.822922,7.126404,1.527767
263,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.548477,56.106873,42.105865,39.110703,7.829788,5.724777,1.173627
264,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,50.633591,49.938736,28.412704,28.044861,8.73558,7.15596,1.517538
265,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,58.107697,56.128769,41.297409,39.431442,6.837097,6.561462,1.141529
266,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,50.802643,50.748032,28.333252,28.569672,8.431458,7.48407,1.53764
267,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,59.907578,56.64032,42.566986,39.552872,7.214249,6.26973,1.173382
268,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,58.526581,54.771606,41.525085,37.98465,6.998703,6.291107,1.151872
269,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,51.075287,50.180695,28.752502,28.149384,8.413239,7.191284,1.527245
270,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,50.295486,50.693069,27.983688,28.612701,8.195038,7.569809,1.529204
271,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,61.530975,57.773727,43.314484,39.859634,7.569962,6.32132,1.23368
272,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,52.079788,50.987534,29.028305,28.15329,8.525848,7.764633,1.580027
273,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,50.373123,49.52829,28.248611,27.857681,8.894547,6.771606,1.50772
274,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,49.957306,50.287277,27.771759,28.328842,8.233871,7.523361,1.51932
