,B,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
136,-1,1,2300000,250 250 250,1500000,24,2 16,1341.925278,1327.538010,808.786652,807.546783,330.440353,284.491104,33.814560
137,1,-1,2300000,250 250 250,1500000,24,16 2,1678.448334,1623.710617,1168.616241,1126.619217,324.322113,279.110901,32.131664
138,-1,1,2300000,250 250 250,1500000,24,2 16,1331.899872,1324.346420,802.112167,806.541336,326.056366,288.512299,33.624920
139,1,1,2300000,250 250 250,1500000,24,0 159,1717.162155,1688.541687,1229.959015,1207.953354,304.229675,291.463776,30.751143
140,-1,-1,2300000,250 250 250,1500000,24,159 0,1200.809921,1199.205399,686.550400,697.503586,326.941086,284.078232,32.524399
141,-1,1,2300000,250 250 250,1500000,24,2 16,1289.315186,1289.961578,782.336197,789.685684,309.716278,296.921432,32.263325
142,-1,-1,2300000,250 250 250,1500000,24,159 0,1188.063309,1191.969452,679.112793,694.197311,325.642319,284.477753,32.256676
143,1,-1,2300000,250 250 250,1500000,24,16 2,1663.479401,1624.738510,1155.446747,1123.830322,312.411987,292.259979,32.284389
144,1,1,2300000,250 250 250,1500000,24,0 159,1828.653778,1748.177902,1301.782761,1235.006378,330.740387,281.751923,33.278233
145,-1,-1,2300000,250 250 250,1500000,24,159 0,1196.451141,1194.654190,684.408859,694.767563,328.075546,282.948853,32.373886
146,1,1,2300000,250 250 250,1500000,24,0 159,1746.087524,1714.182571,1243.209991,1217.554321,306.571213,293.505096,31.879568
147,1,-1,2300000,250 250 250,1500000,24,16 2,1689.985504,1650.993927,1170.285721,1142.314819,320.883362,287.830124,32.836216
148,-1,1,2300000,250 250 250,1500000,24,2 16,1324.496307,1305.131393,802.722198,797.427765,334.348801,278.088440,32.949375
149,1,-1,2300000,250 250 250,1500000,24,16 2,2082.180344,2052.442993,1342.699188,1323.378983,356.938324,333.334839,48.420197
150,1,1,2300000,250 250 250,1500000,24,0 159,1771.172485,1720.315964,1261.371216,1219.867615,314.256622,285.072418,32.233685
151,-1,-1,2300000,250 250 250,1500000,24,159 0,1200.870529,1195.898712,686.457840,694.250931,326.388138,278.729034,32.512497
152,-1,1,2300000,250 250 250,1500000,24,2 16,1263.372452,1265.893906,772.306320,780.764832,305.072281,294.213928,31.135853
153,-1,-1,2300000,250 250 250,1500000,24,159 0,1222.336349,1221.186172,692.480408,702.568558,324.821762,289.314423,33.725754
154,-1,1,2300000,250 250 250,1500000,24,2 16,1294.586563,1286.396347,786.242294,789.704132,322.836182,281.574051,32.192341
155,1,1,2300000,250 250 250,1500000,24,0 159,1753.389389,1724.029297,1246.631607,1224.586075,309.465332,294.111084,32.146984
156,1,-1,2300000,250 250 250,1500000,24,16 2,1722.087585,1656.573318,1192.001694,1140.494644,330.499146,279.532837,33.492435
157,-1,1,2300000,250 250 250,1500000,24,2 16,1266.573334,1266.328873,774.589142,781.530685,308.097229,290.842697,31.119017
158,1,1,2300000,250 250 250,1500000,24,0 159,1794.227097,1724.691147,1277.977173,1219.326920,319.455032,283.455338,32.645714
159,1,-1,2300000,250 250 250,1500000,24,16 2,1719.913162,1648.714081,1193.466507,1136.104462,328.941513,281.544006,33.217827
160,-1,-1,2300000,250 250 250,1500000,24,159 0,1160.241592,1167.284348,670.714539,684.124847,307.910095,291.083969,31.003155
161,-1,-1,2300000,250 250 250,1500000,24,159 0,1211.637085,1209.018036,689.599930,696.145264,319.994522,290.140457,33.255795
162,-1,1,2300000,250 250 250,1500000,24,2 16,1258.945374,1263.519943,769.711197,780.708237,306.686691,291.468307,31.037239
163,1,-1,2300000,250 250 250,1500000,24,16 2,1645.295395,1593.871048,1148.532394,1106.874161,315.888062,282.976868,31.389313
164,1,1,2300000,250 250 250,1500000,24,0 159,1753.410873,1716.301086,1249.918655,1220.139114,309.280334,294.294983,31.862478
165,1,-1,2300000,250 250 250,1500000,24,16 2,1684.861511,1627.204559,1172.413467,1128.237000,326.619720,280.089127,32.247364
166,-1,1,2300000,250 250 250,1500000,24,2 16,1292.000397,1292.299896,783.265091,791.047211,311.564056,294.061646,32.284756
167,-1,-1,2300000,250 250 250,1500000,24,159 0,1222.015030,1221.091965,693.913544,705.164642,326.231979,287.859650,33.550388
168,1,1,2300000,250 250 250,1500000,24,0 159,1779.166992,1715.641327,1272.608353,1221.918640,324.038803,278.680862,31.917011
169,1,1,2300000,250 250 250,1500000,24,0 159,1779.961151,1721.760239,1268.206512,1220.365707,317.190506,286.850967,32.331863
170,1,-1,2300000,250 250 250,1500000,24,16 2,1658.609360,1623.549179,1152.126343,1125.172302,312.755478,292.241760,32.017059
171,-1,-1,2300000,250 250 250,1500000,24,159 0,1162.738235,1165.503708,667.818466,678.489624,314.374039,290.679977,31.284777
172,-1,1,2300000,250 250 250,1500000,24,2 16,1301.975845,1297.467743,789.685455,792.277985,313.715164,295.636002,32.577271
173,-1,-1,2300000,250 250 250,1500000,24,159 0,1212.914551,1200.857727,694.029190,695.841827,333.257675,280.029938,32.846493
174,1,-1,2300000,250 250 250,1500000,24,16 2,1695.328995,1616.172562,1181.914597,1116.211990,329.004425,277.329926,32.412434
175,1,1,2300000,250 250 250,1500000,24,0 159,1793.113785,1722.311371,1277.714432,1216.586945,315.169327,287.678207,32.635323
176,-1,1,2300000,250 250 250,1500000,24,2 16,1310.402023,1295.211197,796.302246,793.981415,325.960022,280.268631,32.475842
177,1,1,2300000,250 250 250,1500000,24,0 159,1765.963593,1736.688843,1255.938034,1234.982330,310.981430,291.082901,32.303608
178,1,-1,2300000,250 250 250,1500000,24,16 2,1667.300018,1625.032639,1157.875092,1123.587540,311.411896,292.366730,32.241028
179,-1,-1,2300000,250 250 250,1500000,24,159 0,1199.554886,1195.175125,686.150894,694.502548,326.187271,281.471542,32.445488
180,-1,1,2300000,250 250 250,1500000,24,2 16,1326.626709,1321.566238,799.507477,804.631287,324.298477,290.646790,33.537449
181,1,-1,2300000,250 250 250,1500000,24,16 2,1711.126297,1652.282242,1185.341705,1138.338608,326.435776,283.579178,33.320110
182,-1,-1,2300000,250 250 250,1500000,24,159 0,1204.372543,1196.306046,689.566055,694.154434,329.766861,280.125122,32.576138
183,1,1,2300000,250 250 250,1500000,24,0 159,1757.262817,1735.979294,1248.954163,1232.183334,303.729706,300.826019,32.349670
184,-1,1,2300000,250 250 250,1500000,24,2 16,1340.566284,1324.050339,808.314590,804.456543,329.919067,286.142624,33.777081
185,-1,-1,2300000,250 250 250,1500000,24,159 0,1217.813873,1207.727905,695.482376,699.949112,334.508102,278.630096,33.073753
186,-1,1,2300000,250 250 250,1500000,24,2 16,1309.002686,1301.433136,790.797501,791.553589,317.504211,292.336456,33.019482
187,1,1,2300000,250 250 250,1500000,24,0 159,1719.340347,1682.800934,1233.138153,1202.975952,305.252640,291.632751,30.753099
188,1,-1,2300000,250 250 250,1500000,24,16 2,1632.398911,1602.567780,1140.352921,1117.108719,306.143646,291.424576,31.092690
189,1,-1,2300000,250 250 250,1500000,24,16 2,1668.890656,1624.191223,1159.231949,1122.767624,311.880524,292.078171,32.254345
190,1,1,2300000,250 250 250,1500000,24,0 159,1792.883072,1725.961472,1282.784912,1229.683990,325.138336,277.699951,32.072258
191,-1,1,2300000,250 250 250,1500000,24,2 16,1302.553955,1295.782471,790.832230,790.055206,309.128006,297.412277,32.527935
192,-1,-1,2300000,250 250 250,1500000,24,159 0,1210.533936,1206.991135,690.574783,696.024704,317.158783,291.022232,33.067291
193,1,1,2300000,250 250 250,1500000,24,0 159,1795.417480,1712.115829,1285.769455,1215.836044,324.210876,277.817841,32.110245
194,1,-1,2300000,250 250 250,1500000,24,16 2,1701.077866,1620.205902,1183.330444,1113.567825,319.321838,286.380554,32.736679
195,-1,1,2300000,250 250 250,1500000,24,2 16,1657.633698,1613.032242,980.798004,949.871994,354.352402,314.029770,43.916561
196,-1,-1,2300000,250 250 250,1500000,24,159 0,1163.642395,1165.093002,672.394058,681.439240,309.303513,288.566452,31.135168
197,1,1,2300000,250 250 250,1500000,24,0 159,1746.851151,1707.033173,1247.063660,1213.377457,306.467819,293.583008,31.714252
198,1,-1,2300000,250 250 250,1500000,24,16 2,1725.768036,1658.817703,1194.927963,1141.585800,332.499466,282.283249,33.568367
199,-1,-1,2300000,250 250 250,1500000,24,159 0,1206.231583,1202.804764,689.829208,699.386688,329.954865,281.980133,32.644474
200,-1,1,2300000,250 250 250,1500000,24,2 16,1366.628189,1334.021698,827.650696,809.959244,339.942032,280.986298,34.205887
