,E,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
81,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,120.921555,120.362289,72.695435,72.815506,23.767395,20.994797,3.211948
82,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,136.838257,133.612946,93.193069,90.844925,23.183441,19.724884,2.877976
83,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.474167,115.141571,65.401749,65.782120,24.263214,21.570068,3.342258
84,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,140.387405,136.805496,97.286682,94.636887,23.260666,19.346954,2.838552
85,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.539154,136.046295,96.856979,94.106537,22.665100,19.709930,2.814527
86,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,123.166046,122.458237,73.741867,73.902084,24.487518,20.718658,3.291101
87,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,151.454620,144.560013,83.690613,77.570801,27.242569,24.763382,4.594815
88,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,135.163559,131.766266,92.856842,90.061874,22.404526,19.815247,2.793970
89,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,114.942978,114.383835,65.235733,65.698090,25.133850,20.493256,3.306429
90,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,139.297592,135.661652,94.729370,92.133560,24.045822,19.378815,2.937196
91,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,138.811569,135.574432,96.248260,93.798431,22.953217,19.331055,2.804857
92,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,124.053040,123.223190,74.053238,74.109192,24.763840,20.790039,3.331874
93,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,134.677231,131.582291,92.358078,89.783356,22.260010,20.204865,2.796460
94,-1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,127 0,115.820663,114.907761,65.753525,65.852219,25.060715,20.522797,3.333215
95,1,-1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,64 16,159.073074,150.060883,92.516541,84.939606,28.073257,23.467514,4.496964
96,1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,0 127,139.696518,136.206833,97.061279,94.425385,23.111725,19.510834,2.806523
97,-1,1,2300000,delaunay-refine-uniform_-s_-d_2_2000000,1500000,24,16 64,137.824814,134.139923,93.938324,91.286301,23.705246,19.257126,2.888778
