,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
703,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1587.185760,1929.717239,824.555984,1189.379456,323.440475,241.629089,50.697010
704,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1571.293686,1758.034698,876.770233,1084.502243,309.968170,227.286545,45.967564
705,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1579.798615,1963.865250,816.883957,1222.419327,323.341980,240.509964,50.781570
706,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2073.584503,2104.028625,1276.637421,1340.655045,360.637039,222.824295,52.714287
707,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1596.690887,1910.665421,829.734894,1162.595047,317.264053,246.472504,51.168438
708,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2077.563538,2003.950394,1295.735748,1248.315857,338.445175,233.673569,51.950081
709,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,2005.246292,1801.308014,1324.283798,1142.510605,308.058060,226.748245,44.937462
710,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1973.181458,1733.056686,1304.823303,1082.301010,294.511200,233.589661,44.229130
711,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1497.721588,1738.331024,837.469116,1093.014740,291.163040,238.884079,43.754177
712,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1504.349472,1731.830505,850.468384,1092.206390,290.911835,233.901596,43.361729
713,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1869.760956,1702.235016,1240.367844,1084.628326,278.861191,238.089020,41.684425
714,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2240.833282,2239.990891,1373.428131,1403.130173,361.235977,247.672302,57.755985
715,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1641.401001,2044.447174,828.750305,1262.817963,355.080658,233.661285,53.890285
